"year","block","treatment","depth","crop","pH","OM","P","Ca","AP","DC","NV","PROD"
"2019/2020",3,"20","10-20cm","oat",6.6,2.75,11,6.5,62,1.8,24,3818
"2019/2020",4,"20","0-5cm","oat",6.3,2.75,14,3.6,74,1.5,35,4692
"2019/2020",1,"20","5-10cm","oat",5.9,2.45,20,4.8,100,1.4,29,3871
"2019/2020",2,"20","10-20cm","oat",6.7,2.55,15,5.6,74,1.2,29,3760
"2019/2020",3,"20","0-5cm","oat",6.6,2.85,16,6.8,72,1.9,39,4571
"2019/2020",4,"20","5-10cm","oat",6.4,2.15,14,5.4,87,1.5,27,4607
"2019/2020",1,"20","10-20cm","oat",6.2,2.35,16,5,84,1.4,40,4390
"2019/2020",2,"20","0-5cm","oat",5.8,2.65,12,4.7,88,1.7,23,4160
"2019/2020",3,"20","5-10cm","oat",6.8,2.45,18,5.4,77,1.3,37,4847
"2019/2020",4,"20","10-20cm","oat",5.8,2.95,17,6,91,1.6,32,3545
"2019/2020",1,"20","0-5cm","oat",7.2,2.75,13,4.8,68,1.8,28,4619
"2019/2020",2,"20","5-10cm","oat",6.9,2.55,15,5.2,80,1.5,29,4907
"2019/2020",3,"20","10-20cm","oat",6,2.05,17,5.2,73,1.8,37,4077
"2019/2020",4,"20","0-5cm","oat",5.6,2.55,17,5.7,87,1.6,39,4343
"2019/2020",1,"20","5-10cm","oat",5.7,2.45,19,6.1,81,1.4,22,4355
"2019/2020",2,"20","10-20cm","oat",6.2,2.55,13,5.3,91,1.6,47,4647
"2019/2020",3,"20","0-5cm","oat",6,2.15,18,4.9,101,1.4,43,3621
"2019/2020",4,"20","5-10cm","oat",5.9,2.65,18,6.4,81,1.4,27,4498
"2019/2020",1,"20","10-20cm","oat",5.6,2.25,15,5.2,75,1.7,30,3196
"2019/2020",2,"20","0-5cm","oat",6.1,2.45,12,6.6,72,1.4,27,5088
"2019/2020",3,"20","5-10cm","oat",5.7,2.65,12,4.9,77,1.5,30,3764
"2019/2020",4,"20","10-20cm","oat",5.3,2.35,16,5.6,79,1.7,34,3892
"2019/2020",1,"20","0-5cm","oat",5.9,2.75,15,3.5,100,1.3,31,4179
"2019/2020",2,"20","5-10cm","oat",6.6,2.15,20,4.9,69,1.8,31,3425
"2019/2020",3,"20","10-20cm","oat",5.8,1.75,17,5,69,1.9,37,3919
"2019/2020",4,"20","0-5cm","oat",6.4,2.65,14,4.2,76,1.6,19,4081
"2019/2020",1,"20","5-10cm","oat",5.3,2.85,12,4,86,1.6,28,3880
"2019/2020",2,"20","10-20cm","oat",6.1,2.45,13,5.9,88,1.4,31,5063
"2019/2020",3,"20","0-5cm","oat",6.4,2.75,16,5.9,71,1.6,26,3157
"2019/2020",4,"20","5-10cm","oat",6.3,2.25,14,3.7,81,1.4,35,3997
"2019/2020",1,"20","10-20cm","oat",6.2,2.55,17,5.4,80,1.6,28,4639
"2019/2020",2,"20","0-5cm","oat",5.8,1.95,14,3.9,92,1.4,28,3632
"2019/2020",3,"20","5-10cm","oat",5.7,2.95,15,3.9,91,1.7,36,3981
"2019/2020",4,"20","10-20cm","oat",5.6,3.15,13,5.5,77,1.6,34,5022
"2019/2020",1,"20","0-5cm","oat",6.2,2.85,21,4.3,80,1.7,29,3116
"2019/2020",2,"20","5-10cm","oat",5.6,2.55,16,6,87,1.9,28,3648
"2019/2020",3,"20","10-20cm","oat",5.9,2.55,16,5,63,1.4,23,3451
"2019/2020",4,"20","0-5cm","oat",6,2.05,10,5.5,77,1.7,27,4365
"2019/2020",1,"20","5-10cm","oat",7,2.75,17,4.5,86,1.2,43,3617
"2019/2020",2,"20","10-20cm","oat",5.8,2.45,12,3.8,75,1.4,30,4284
"2019/2020",3,"20","0-5cm","oat",6.2,2.35,12,5.9,79,1.7,35,3727
"2019/2020",4,"20","5-10cm","oat",6.1,2.15,18,5.2,80,1.4,29,3974
"2019/2020",1,"20","10-20cm","oat",5.6,2.45,14,4.8,73,1.6,33,4478
"2019/2020",2,"20","0-5cm","oat",6.1,2.25,10,5.1,70,1.3,30,4119
"2019/2020",3,"20","5-10cm","oat",6.8,2.45,20,6.3,78,1.4,37,3080
"2019/2020",4,"20","10-20cm","oat",6.3,2.15,8,4.3,77,1.5,27,3782
"2019/2020",1,"20","0-5cm","oat",6.1,3.05,17,4.3,88,1.4,21,4407
"2019/2020",2,"20","5-10cm","oat",5.9,2.55,18,4.4,95,1.1,34,4980
"2019/2020",3,"20","10-20cm","oat",5.1,2.85,13,3.4,80,1.5,29,3493
"2019/2020",4,"20","0-5cm","oat",6.7,1.75,16,5.8,84,1.6,37,3936
"2019/2020",1,"20","5-10cm","oat",5.4,2.45,16,5.2,79,1.5,31,4009
"2019/2020",2,"20","10-20cm","oat",6.5,2.35,18,5.2,86,1.4,37,3684
"2019/2020",3,"20","0-5cm","oat",7.1,2.15,16,5,82,1.7,32,3359
"2019/2020",4,"20","5-10cm","oat",5.4,3.05,14,4.5,82,1.7,28,4969
"2019/2020",1,"20","10-20cm","oat",6.5,2.15,18,4.2,91,1,34,4789
"2019/2020",2,"20","0-5cm","oat",6,2.65,17,5.9,70,1.7,28,3347
"2019/2020",3,"20","5-10cm","oat",5.3,2.85,12,3.6,94,1.1,38,3108
"2019/2020",4,"20","10-20cm","oat",5.3,2.65,11,5.4,83,1.4,31,3911
"2019/2020",1,"20","0-5cm","oat",5.3,2.25,15,4.2,82,1.3,20,4265
"2019/2020",2,"20","5-10cm","oat",5.8,2.85,14,5.3,74,1.4,28,3986
"2019/2020",3,"20","10-20cm","oat",5.4,2.65,12,4.3,78,1.8,22,4615
"2019/2020",4,"20","0-5cm","oat",6.4,2.25,15,4.5,84,1.6,19,3927
"2019/2020",1,"20","5-10cm","oat",7.2,2.15,11,6.8,59,1.6,30,3467
"2019/2020",2,"20","10-20cm","oat",5.5,3.15,15,5.7,74,1.1,33,4810
"2019/2020",3,"20","0-5cm","oat",6.5,2.35,13,2.9,86,1.5,26,3933
"2019/2020",4,"20","5-10cm","oat",6.5,1.95,18,5.1,77,1.6,23,3908
"2019/2020",1,"20","10-20cm","oat",6.3,2.75,22,4.5,72,1.7,27,3918
"2019/2020",2,"20","0-5cm","oat",5.6,2.65,12,3.9,74,1.3,22,4078
"2019/2020",3,"20","5-10cm","oat",6,2.15,18,5.2,82,1.7,34,2891
"2019/2020",4,"20","10-20cm","oat",6,1.95,17,5.1,64,1.2,33,4392
"2019/2020",1,"20","0-5cm","oat",6.4,2.55,15,4.7,89,1.8,22,4411
"2019/2020",2,"20","5-10cm","oat",5.9,2.85,14,7,58,1.3,27,4365
"2019/2020",3,"20","10-20cm","oat",6.6,2.75,20,2.8,75,1.7,35,3844
"2019/2020",4,"20","0-5cm","oat",5.9,2.45,9,5.8,72,1.6,29,4100
"2019/2020",1,"40","5-10cm","soybean",6.7,2.3,13,4.7,68,1.3,30,3383
"2019/2020",2,"40","10-20cm","soybean",5.7,2.7,11,5.7,69,1.7,32,4280
"2019/2020",3,"40","0-5cm","soybean",5.6,2.6,19,4.5,83,1.5,33,3691
"2019/2020",4,"40","5-10cm","soybean",7.8,2.8,14,4.4,79,1.7,36,4758
"2019/2020",1,"40","10-20cm","soybean",6,2.5,13,3.3,77,1.5,34,3637
"2019/2020",2,"40","0-5cm","soybean",6.3,2.9,25,4.8,57,1.7,23,3070
"2019/2020",3,"40","5-10cm","soybean",6.5,2.4,15,7.5,67,1.5,28,4186
"2019/2020",4,"40","10-20cm","soybean",6,2.5,14,6,79,1.7,32,3285
"2019/2020",1,"40","0-5cm","soybean",6.5,2.8,16,6.7,71,1.4,29,3636
"2019/2020",2,"40","5-10cm","soybean",6.4,2.9,10,5.9,72,1.6,19,4502
"2019/2020",3,"40","10-20cm","soybean",6.1,2,16,6.1,90,1.6,26,5036
"2019/2020",4,"40","0-5cm","soybean",6.2,2.6,15,5.9,82,1.7,35,3969
"2019/2020",1,"40","5-10cm","soybean",6.2,2.8,16,5.5,70,1.4,31,4586
"2019/2020",2,"40","10-20cm","soybean",7.3,2.2,12,4.4,75,1.5,23,3411
"2019/2020",3,"40","0-5cm","soybean",5.8,2.7,12,4.5,77,1.4,31,4965
"2019/2020",4,"40","5-10cm","soybean",5.7,2.4,13,3.4,73,1.7,29,4097
"2019/2020",1,"40","10-20cm","soybean",6.2,2.9,13,5,70,1.4,33,3710
"2019/2020",2,"40","0-5cm","soybean",6.4,2.8,19,5.9,79,1.8,41,4299
"2019/2020",3,"40","5-10cm","soybean",6.4,2.8,20,6,87,1.7,22,3695
"2019/2020",4,"40","10-20cm","soybean",6,2.6,15,5.1,82,1.5,27,4125
"2019/2020",1,"40","0-5cm","soybean",5.7,2.9,14,4.5,78,1.7,29,4151
"2019/2020",2,"40","5-10cm","soybean",6.8,3,14,8.3,84,1.5,19,4685
"2019/2020",3,"40","10-20cm","soybean",6,3.2,15,5.7,88,1.6,30,3817
"2019/2020",4,"40","0-5cm","soybean",5.8,2.6,15,6.4,79,1.6,27,3912
"2019/2020",1,"40","5-10cm","soybean",6.1,1.9,16,4.7,85,1.6,41,4162
"2019/2020",2,"40","10-20cm","soybean",6.1,2.6,13,5,69,1.4,15,4549
"2019/2020",3,"40","0-5cm","soybean",6.8,2.7,12,5.4,78,1.2,37,5048
"2019/2020",4,"40","5-10cm","soybean",6.2,2.6,19,6.7,76,1.2,35,4891
"2019/2020",1,"40","10-20cm","soybean",6.6,2.8,13,4.7,82,1.4,34,4580
"2019/2020",2,"40","0-5cm","soybean",6,2.9,16,5.9,84,1.6,31,3148
"2019/2020",3,"40","5-10cm","soybean",6.3,2.4,15,2.9,79,1.5,26,4574
"2019/2020",4,"40","10-20cm","soybean",6,2.5,12,4.5,72,1.3,36,4477
"2019/2020",1,"40","0-5cm","soybean",6.2,2.7,17,3.7,71,1.9,26,3751
"2019/2020",2,"40","5-10cm","soybean",5.8,2.4,16,6.1,83,1.6,33,3818
"2019/2020",3,"40","10-20cm","soybean",5.5,2.6,19,4.8,94,1.9,32,3415
"2019/2020",4,"40","0-5cm","soybean",7.2,2,15,4.6,72,1.7,35,4094
"2019/2020",1,"40","5-10cm","soybean",6.5,2.3,14,6.4,76,1.4,27,4145
"2019/2020",2,"40","10-20cm","soybean",5.6,2.2,16,6.1,83,1.4,27,3223
"2019/2020",3,"40","0-5cm","soybean",5.9,2.3,11,4.1,74,1.2,32,3309
"2019/2020",4,"40","5-10cm","soybean",5.6,2.4,12,5.4,81,1.6,32,4187
"2019/2020",1,"40","10-20cm","soybean",7.3,2.7,17,3.8,80,1.8,37,3587
"2019/2020",2,"40","0-5cm","soybean",6.9,2.9,14,4.5,72,1.3,32,3950
"2019/2020",3,"40","5-10cm","soybean",6.1,2.4,15,6.6,88,1.3,31,4604
"2019/2020",4,"40","10-20cm","soybean",6.5,2.3,15,6.5,88,1.7,34,3887
"2019/2020",1,"40","0-5cm","soybean",6,2.3,13,6.1,90,1.2,27,4164
"2019/2020",2,"40","5-10cm","soybean",6,2.5,9,4.4,93,1.9,35,4408
"2019/2020",3,"40","10-20cm","soybean",5.8,2.5,16,3.1,75,1.6,25,3538
"2019/2020",4,"40","0-5cm","soybean",5.9,2.7,17,3.8,75,1.2,32,4721
"2019/2020",1,"40","5-10cm","soybean",7,2.5,11,6,83,1.6,21,4559
"2019/2020",2,"40","10-20cm","soybean",6.2,2,19,4.7,86,1.5,31,4736
"2019/2020",3,"40","0-5cm","soybean",6.3,2.6,16,2.8,77,1,22,3887
"2019/2020",4,"40","5-10cm","soybean",6.3,3,19,4.8,76,1.5,29,3368
"2019/2020",1,"40","10-20cm","soybean",6.8,3,12,6.4,74,1.4,21,4356
"2019/2020",2,"40","0-5cm","soybean",5.9,2.4,16,5.6,95,1.3,27,4409
"2019/2020",3,"40","5-10cm","soybean",5.7,2.1,15,4.2,55,1.5,26,5370
"2019/2020",4,"40","10-20cm","soybean",7,3.3,17,3.5,78,1.7,33,4960
"2019/2020",1,"40","0-5cm","soybean",6,2.6,13,4.2,80,1.8,27,3868
"2019/2020",2,"40","5-10cm","soybean",5.8,2.6,15,5,69,1,26,3597
"2019/2020",3,"40","10-20cm","soybean",5.6,2.7,10,5.9,84,1.6,36,4410
"2019/2020",4,"40","0-5cm","soybean",5.6,2.1,13,3.1,60,1.3,38,5097
"2019/2020",1,"40","5-10cm","soybean",5.9,2.4,15,6,90,1.7,35,3508
"2019/2020",2,"40","10-20cm","soybean",6.5,2.1,13,5,63,1.6,23,3710
"2019/2020",3,"40","0-5cm","soybean",6.8,2.4,15,5.6,58,1.8,36,4974
"2019/2020",4,"40","5-10cm","soybean",6.6,2.6,14,3.3,72,1.2,24,5019
"2019/2020",1,"40","10-20cm","soybean",6,2.2,17,4.3,82,1.6,30,4197
"2019/2020",2,"40","0-5cm","soybean",6.2,2.8,19,4.6,73,1.6,34,3290
"2019/2020",3,"40","5-10cm","soybean",5.8,2.7,13,6,74,1.7,29,3829
"2019/2020",4,"40","10-20cm","soybean",5.8,2.3,14,6,83,1.5,29,4684
"2019/2020",1,"40","0-5cm","soybean",6.6,2.7,19,5.4,69,1.7,31,5177
"2019/2020",2,"40","5-10cm","soybean",5.7,2.8,8,6.6,79,1.4,32,4092
"2019/2020",3,"40","10-20cm","soybean",7.2,2.9,14,4.5,85,1.4,32,3784
"2019/2020",4,"40","0-5cm","soybean",6.2,2.5,21,6,96,1.5,21,4253
"2019/2020",1,"40","5-10cm","soybean",6.3,2.6,22,5,85,1.3,29,4172
"2019/2020",2,"40","10-20cm","soybean",5.8,2.6,15,4.3,97,1.4,31,3645
"2019/2020",3,"40","0-5cm","soybean",5.9,3,12,5.9,85,1.7,33,4396
"2019/2020",4,"40","5-10cm","soybean",5.5,2.9,15,6.4,80,1.8,28,4795
"2019/2020",1,"40","10-20cm","soybean",6.1,2.9,13,5.9,57,1.7,26,4107
"2019/2020",2,"40","0-5cm","soybean",6.4,2.5,19,4.5,68,1.4,23,4413
"2019/2020",3,"40","5-10cm","soybean",6.4,2.7,13,4.5,77,1.6,26,4226
"2019/2020",4,"40","10-20cm","soybean",5.8,2.7,16,6.4,87,1.5,29,4331
"2020/2021",1,"60","0-5cm","soybean",5.9,2.35,17,5.4,77,1.2,27,4043
"2020/2021",2,"60","5-10cm","soybean",6,2.15,13,5.8,85,1.6,33,4749
"2020/2021",3,"60","10-20cm","soybean",7,2.85,18,4.7,69,1.3,32,4266
"2020/2021",4,"60","0-5cm","soybean",5.7,2.15,13,6.3,77,1.3,22,3899
"2020/2021",1,"60","5-10cm","soybean",6.2,2.65,17,4.2,82,1.6,32,4465
"2020/2021",2,"60","10-20cm","soybean",7.3,2.75,18,5.6,76,1.4,33,4629
"2020/2021",3,"60","0-5cm","soybean",6.2,2.85,12,4.2,81,1.5,29,4113
"2020/2021",4,"60","5-10cm","soybean",5.6,2.75,18,2.5,73,1.3,30,2811
"2020/2021",1,"60","10-20cm","soybean",6,2.45,14,3.7,84,1.5,28,4968
"2020/2021",2,"60","0-5cm","soybean",6.5,2.95,16,5.1,79,1.6,29,3775
"2020/2021",3,"60","5-10cm","soybean",6.1,3.15,16,5.9,80,1.6,25,3975
"2020/2021",4,"60","10-20cm","soybean",6,2.95,14,3.2,61,1.3,32,4959
"2020/2021",1,"60","0-5cm","soybean",6.1,2.05,16,3.7,73,1.8,24,3201
"2020/2021",2,"60","5-10cm","soybean",6.3,3.05,11,6.8,65,1.8,27,3597
"2020/2021",3,"60","10-20cm","soybean",7.1,2.65,15,4.6,64,1.6,25,3775
"2020/2021",4,"60","0-5cm","soybean",6.3,2.85,17,5.5,75,1.5,26,3494
"2020/2021",1,"60","5-10cm","soybean",6.8,2.85,8,4.5,78,1.5,28,4702
"2020/2021",2,"60","10-20cm","soybean",6.6,2.65,11,4.7,83,1.6,28,4782
"2020/2021",3,"60","0-5cm","soybean",6.2,2.65,12,5.1,91,1.6,27,4400
"2020/2021",4,"60","5-10cm","soybean",5.5,2.95,10,5,84,1.5,29,3930
"2020/2021",1,"60","10-20cm","soybean",6,2.85,16,4.8,90,1.6,22,3938
"2020/2021",2,"60","0-5cm","soybean",6.1,2.95,12,4.5,75,1.4,31,3866
"2020/2021",3,"60","5-10cm","soybean",6.3,3.35,9,2,77,1.7,33,3888
"2020/2021",4,"60","10-20cm","soybean",7,2.85,13,6.9,91,1.5,24,4391
"2020/2021",1,"60","0-5cm","soybean",7.4,2.75,14,6.8,80,1.1,23,4605
"2020/2021",2,"60","5-10cm","soybean",7.1,1.95,18,3.9,63,1.5,41,3922
"2020/2021",3,"60","10-20cm","soybean",6.2,3.45,12,4.8,72,1.6,31,4309
"2020/2021",4,"60","0-5cm","soybean",5.4,2.55,18,6.4,90,1.7,30,2957
"2020/2021",1,"60","5-10cm","soybean",6.1,3.35,16,6,74,1.5,29,4188
"2020/2021",2,"60","10-20cm","soybean",6.3,2.75,16,6.3,83,1.1,32,3711
"2020/2021",3,"60","0-5cm","soybean",6.7,3.15,12,3.9,80,1.5,30,4699
"2020/2021",4,"60","5-10cm","soybean",6.8,2.65,21,7.6,75,1.3,27,4743
"2020/2021",1,"60","10-20cm","soybean",6.6,2.85,15,3.9,76,1.3,28,3052
"2020/2021",2,"60","0-5cm","soybean",5.6,2.75,10,5.8,84,1.3,28,4611
"2020/2021",3,"60","5-10cm","soybean",6.7,2.55,14,5.1,82,1.3,28,3867
"2020/2021",4,"60","10-20cm","soybean",6.1,2.65,9,4.6,92,1.7,26,4068
"2020/2021",1,"60","0-5cm","soybean",6.4,2.95,14,4.6,78,1.3,35,4599
"2020/2021",2,"60","5-10cm","soybean",6.3,2.55,14,4,71,1.4,30,4495
"2020/2021",3,"60","10-20cm","soybean",6.5,2.05,17,6.6,82,1.5,26,3740
"2020/2021",4,"60","0-5cm","soybean",6.3,2.55,18,5.1,87,1.7,33,4310
"2020/2021",1,"60","5-10cm","soybean",5.5,2.85,13,5.3,103,1.4,32,3916
"2020/2021",2,"60","10-20cm","soybean",6.7,2.85,17,5.2,75,1.3,29,4776
"2020/2021",3,"60","0-5cm","soybean",6.5,2.85,19,4.6,77,1.4,32,3364
"2020/2021",4,"60","5-10cm","soybean",6.2,2.15,13,3.9,89,1.3,25,4560
"2020/2021",1,"60","10-20cm","soybean",6.4,2.75,13,5.3,93,1.7,29,4846
"2020/2021",2,"60","0-5cm","soybean",6.4,2.95,17,2.9,73,1.1,25,2845
"2020/2021",3,"60","5-10cm","soybean",6.4,3.05,16,3.6,87,1.4,24,4474
"2020/2021",4,"60","10-20cm","soybean",7.1,2.55,17,3.9,74,1.2,28,3969
"2020/2021",1,"60","0-5cm","soybean",6.2,2.55,19,3.9,70,1.1,31,4205
"2020/2021",2,"60","5-10cm","soybean",6.4,3.05,16,5.1,86,1.5,25,4015
"2020/2021",3,"60","10-20cm","soybean",6.9,2.15,18,6.6,81,1.8,29,4496
"2020/2021",4,"60","0-5cm","soybean",6.8,2.55,17,3.5,84,1.8,21,4614
"2020/2021",1,"60","5-10cm","soybean",6.9,2.75,16,5.4,74,1.4,28,4447
"2020/2021",2,"60","10-20cm","soybean",6,2.15,16,5.9,98,1.4,36,4097
"2020/2021",3,"60","0-5cm","soybean",7.3,2.75,19,4,87,1.4,24,3938
"2020/2021",4,"60","5-10cm","soybean",6.3,3.25,12,4.9,76,1.6,24,4080
"2020/2021",1,"60","10-20cm","soybean",7.2,2.65,12,5.8,87,1,29,4036
"2020/2021",2,"60","0-5cm","soybean",5.6,2.55,17,4.7,68,1.5,33,4253
"2020/2021",3,"60","5-10cm","soybean",6.3,2.75,15,4.8,79,1.4,36,3738
"2020/2021",4,"60","10-20cm","soybean",6.9,2.55,15,5.3,94,1.4,43,4442
"2020/2021",1,"60","0-5cm","soybean",5.9,2.85,17,4.9,78,1.1,34,3651
"2020/2021",2,"60","5-10cm","soybean",5.9,2.95,17,4.4,89,1.5,33,3408
"2020/2021",3,"60","10-20cm","soybean",5.8,2.65,14,4.9,78,1.2,40,4279
